id,name,taxa_kind_id_name,description,col_id,eol_id,Autore,"Inizio fioritura","Fine fioritura","Limite altitudinale inferiore","Limite altitudinale superiore","Ciclo biologico","Nome Italiano",Progressivo,Sinonimi,Diffusione
2073,"Laserpitium siler",Specie,"Su pendii sassosi, tra cespugli.",723a61db130cc3e8d18a1b1b6c92d8c7,5050325,L.,Giugno,Agosto,700,1900,,Sermontano,,,
2072,"Laserpitium latifolium",Specie,"Nei prati e su pendii sassoso-cespugliosi.",0af132266b1f5a858d6ee85be3e9561c,5050265,L.,Giugno,Agosto,700,1900,,"Erba nocitola",587,,
2070,"Laserpitium peucedanoides",Specie,"Nei boschi radi e in luoghi cespugliosi.<br /><br />Ha ombrelle di 15-20 (25) raggi; f. irsuto, alto in media 5 dm.; fg. bi-tripennatosette, a divisioni ultime ovali acutam. seghettate e in gran parte con 3-5 lobi, pelose di sotto; fr. ellissoidali, ad ali marginali più larghe delle dorsali: <em>L. nitidum</em> Zanted. Su pendii montani soleggiati; soltanto nel Tr. sud-occid. [Val di Le6ro, M. Tombea, Val di Concei, Passo Gaverdina; Giudicarle (circondario di Tione), sopra Molveno] ; 3-5; E. Endemismo Trentino-Lombardo.",7acf422dc6d5636b8cc2adc4eba9be23,5050309,L.,Giugno,Agosto,700,2200,,,,,
2069,"Laserpitium prutenicum",Specie,"Tra cespugli al margine dei boschi ed anche nei prati.",23fba2f205c7655c5db4d4e8d09357a2,5050315,L.,Giugno,Agosto,0,1000,,,,,
2068,"Laserpitium krapfii",Specie,"ssp. gaudini Thcellg. (la forma tipica non fu mai riscontrata nella reg.).<br /><br />Nei pascoli e in luoghi selvatici.",52c36ce6261ca5be94b46876e89f3b8e,49895998,Crantz,Giugno,Agosto,700,3000,,,,,
2067,"Peucedanum cervaria",Specie,"Su pendii sassosi, fra i cespugli.",fcd566799ea18578a0f0895d722853f3,5044414,Vill.,Giugno,Novembre,0,1000,,"Selino nero, Cervaria",,,
2066,"Peucedanum oreoselinum",Specie,"In luoghi erbosi e boschivi asciutti.",2a1434cba68811d5b95507acd489e051,5044722,Moench.,Giugno,Novembre,0,1900,,"Apio montano",,,
2065,"Peucedanum palustre",Specie,"Nei fossi e in prati paludosi, specialm. della parte sett. della reg.",2f85edab635e1b0d4151b4f38090a7fd,581423,Moench.,Giugno,Agosto,0,700,,,584,,
2064,"Peucedanum venetum",Specie,"In luoghi soleggiati, erboso-cespugliosi, non oltre la latitudine di Merano.",ae353ba4deec449ce34a132301162174,5044930,Koch.,Giugno,Agosto,0,700,,,,,
2063,"Peucedanum austriacum",Specie,"var. leptophyllum Willk. (La forma tipica del P. austriacum sembra non esistere nella reg.).<br /><br />Non rara in luoghi sassosi dei monti del Tr. specialm. occid.",40864cd674903720fe53768879e42bb6,5044365,Koch,Giugno,Agosto,700,1900,,,,"(= P. rablense Koch)",
2062,"Peucedanum ostruthium",Specie,"Su pascoli cespugliosi e piuttosto umidi.<br /><br />Il rizoma, conosciuto col nome di Radice d'Imperatoria, contiene una sostanza amara, per la quale viene usato in infusi come tonico dello stomaco.",05b2662fa9751987ada82719b7f75350,47372654,Koch.,Giugno,Agosto,1000,3000,,"Imperatoria, Erba rena",583,,
2061,"Peucedanum schottii",Specie,"In luoghi aridi erboso-sassosi, lungo le strade. Finora segnalato soltanto perla bassa Valsugana e la Valle di Tesino.",d4440956bf860344098d237583139c25,5044749,Besser.,Giugno,Agosto,,,,,,,
2060,"Ligusticum lucidum",Specie,"Su prati e pascoli subalpini magri e a terreno calcareo. Val di Ledro, M. Baldo, Mendola [ma rinvenuto s anche sul versante or. del M. Brionc (Riva) a 150 ivi. (Beguinot)].",d647c366451fea3edecc609bc69a7a12,5041445,"(Jacq.) Fiori",Giugno,Agosto,,,,,,,
2059,"Ligusticum mutellina",Specie,"Nei prati e nei pascoli.",8832f2eaf813ddaf401f6f8879846307,5041472,Crantz.,Giugno,Agosto,1000,3000,,,,,
2058,"Ligusticum mutellinoides",Specie,"Su terreno erboso-sassoso o rupestre, a preferenza povero di Calcio.",281380b5195cc02b01c88c584efe0bd8,47372574,Vill.,Giugno,Agosto,1900,3000,,"Finocchio d'alpe",,"(= Pachypleurum simplex Rchb.)",
2057,"Seseli varium",Specie,"In luoghi aridi e sassosi della Val Venosta fino a 900 m.; recentem. rinvenuto a Trento (Pitschmann e Reissigl).",2f9450451584d208b307e785c5b2aa30,50281153,Trev.,Marzo,Maggio,,,,,,,
2056,"Seseli austriacum",Specie,"In stazioni analoghe a quelle di <em>S. gouani</em>. In Valsugana, nella Valle di Tesino, in Vallarsa, presso il Lago di Tenno (Biasioni) e rinvenuto recentem. pure a Trento (a occid. dell'Adige) e a Riva (Pitschmann e Reissigl).",1f7de067a2790aff13ee61daa4f8e8b9,52533869,Wohlf.,Giugno,Novembre,,,,,,,
2055,"Seseli annuum",Specie,"Freq. in luoghi aridi, fra cespugli.",e4bf88841bb198fbc3b679a78bc4f0e8,5043786,L.,Giugno,Novembre,0,700,,,,,
2054,"Seseli gouani",Specie,"In luoghi aridi e sassosi della bassa Valle del Sarca e nella Valle di Ledro.",1f7de067a2790aff13ee61daa4f8e8b9,52533869,Koch.,Giugno,Agosto,0,700,,,,,
2053,"Seseli libanotis",Specie,"In luoghi erbosi e sassosi, asciutti.",e91077f7b188903709ab7ca71b5f2372,581460,Koch.,Giugno,Agosto,1000,1900,,,578,,
2051,"Pimpinella saxifraga",Specie,"C. nei prati e nei pascoli, ma anche lungo le strade di campagna; 2-6; P-A. Notevole la ssp. alpestris Spr., non più alta di 3 dm., con segmenti delle fg. radicali quasi palmatopartiti, a lacinie acuminate; fg. cauline similm. incise; ombrelle di pochi raggi (fino a 7).<br /><br />Quasi esclusivam. nel Tr. e soltanto in montagna.",b34cbecfb7f964d914c79ec2ebc9bd0d,581424,L.,Marzo,Novembre,0,2200,,,576,,
2050,"Pimpinella maior",Specie,"C. nei prati e nei pascoli.",5441d4b0a0e11a9445aac5bab9658d7c,581425,Huds.,Giugno,Agosto,0,2200,,"Tragoselino maggiore",575,,
2047,"Bupleurum ranunculoides",Specie,"In luoghi erboso-rupcstri.<br /><br />Solo nel Tr. (dal territorio di Primiero, per la Valsugana fino alla Valle di Ledro e alle Giudicarie).",cdca510917657cd5091d6664245768ce,5042436,L.,Giugno,Agosto,1000,2200,,,568,,
2046,"Bupleurum odontites",Specie,"In luoghi ombrosi, aridi, fin verso gli 800 m. Soltanto nel Tr. merid. (distretti di Trento, Rovereto e Riva).<br />Si distinguono 2 var.:<br /><ol><li>veronense (Turra) con involucro a brattee per la maggior parte non raggiungenti le ombrellette e involucretti a bratteole non superanti i fi.;</li><li>baldense (Turra) con involucro di lunghezza eguale a quella dei peduncoli delle ombrellette laterali e involucretti a bratteole 2-3 volte più lunghe dei peduncoli dei fi.</li></ol>",71cd4871cd615c44e8a743f91eae2933,47136561,L.,Giugno,Agosto,,,,,,,
2045,"Bupleurum petraeum",Specie,"Nelle fessure delle rupi. Soltanto nel Tr. (Val di Ledro, Giudicarle, Primiero, Vallarsa).",e905c2dc0f46e38e6aae4648e3f7d368,5042401,L.,Giugno,Agosto,1900,3000,,,,,
2044,"Bupleurum stellatum",Specie,"Nei pascoli sassosi e in luoghi rupestri.",af4dc95b0267fda5f9ddfb7be65adf42,31019566,L.,Giugno,Agosto,1000,3000,,,,,
2043,"Bupleurum rotundifolium",Specie,"Nei campi, tra le messi ed anche in luoghi incolti.",f9c242f31f20bf6e960155835ad7d6bc,581711,L.,Marzo,Maggio,0,1000,,,567,,
2042,"Astrantia minor",Specie,"In luoghi cespugliosi, nei pascoli. Nel Ti. diffusa prevalentem. ad occid. dell'Adige, nell'A.A. presente soltanto nell'alta Val Venosta.",7d9a8d382400d73ad63a6e48065c8216,5046114,L.,Giugno,Agosto,700,3000,,"Astranzia minore",,,
2041,"Astrantia maior",Specie,"Freq. nei cespugli e nei prati.",2b9f5ac9b5b1c424250efc80efe7b488,480309,L.,,,700,1900,,"Astranzia maggiore",565,,
2040,"Eryngium campestre",Specie,"In stazioni analoghe a quelle della specie precedente.",cbbeb21f3000e1763f615c4ce5a1ebe4,581795,L.,,,,,,,564,,
2039,"Eryngium amethystinum",Specie,"Freq. in luoghi aridi e soleggiati del piano e dei colli nella parte merid. della reg. (verso N. fin quasi a Merano e a Campodazzo).",fb1ce02c1fbec8e2cb31d055d95d7c22,596972,L.,Giugno,Novembre,,,,"Calcatreppola ametistina",,,
2038,Laserpitium,Genere,"(dal lat. laser, specie di gomma, e \'pix\' = pece, per il succo gommoso-resinoso contenuto in certe specie di questo gen. e dal quale si ricava il benzoino).",9984bc8a676df12bdf880fccc154e011,5050189,,,,,,,,,,
2037,"Tordylium maximum",Specie,"(dal gr. tordylion, nome usato da Dioscoride per una o più specie di questo gen.).<br /><br />F. alto 3-12 dm. e più; fg. semplicem. pennatosette, a segmenti ovali od oblunghi, seghettati; ombrelle di 5-15 raggi; fi. bianco-verdognoli; pt. estemi dei fi. periferici delle ombrelle raggianti (assai più grandi degli altri). Su pendii soleggiati, sassoso-cespugliosi, ma anche nelle siepi e lungo le strade campestri. Raro e soltanto nei circondari di Merano, Bolzano e Trento.",58eecfceca184bc3c6c9d0a2ddd3db9b,5045219,L.,Giugno,Agosto,0,700,,,586,,
2036,"Pleurospermum austriacum",Specie,"(dal gr. pleura = costola e \'sperma\' = seme, per le costole pronunciate del suo fr.).<br /><br />F. grosso, alto anche oltre 1,5 m.; ombrelle terminali, grandi (fino a 20 cm. di diametro), con involucro a brattee sovente pennato-lobate; fi. con pt. quasi rotondi. Soltanto nel Tr. merid. (Giudicane, Val di Ledro, M. Baldo, Torcegno in Valsugana) su pendii erboso-sassosi e cespugliosi, ma anche lungo corsi d'acqua; 4-5; E.",76190fb6fb6f18e73f4c44ebb4dadae0,5041308,Hoffm.,Giugno,Agosto,1900,2200,,,,,
2035,"Sium erectum",Specie,"(dal celtico siw = acqua, perché pianta vivente nei fossi).<br /><br />F. lungo fino a 1 m., solcato, cavo (fistoloso); ombrelle piccole, in parte terminali, in parte laterali, opposte alle fg.; fr. globoso-ovoidale, a coste sottili. Nei fossi.",120ed199e2a2225d92c18c09d92a618e,50282865,Huds.,Giugno,Agosto,0,700,,"Erba cannella",572,,
2034,"Sison amomum",Specie,"(dal gr. Sison, nome in Dioscoride di una p. medicinale della Siria).<br /><br />P. biennale, aromatica, con f. di 3-6 dm., ramoso; fg. semplicem. pennatosette, segmenti delle inf. ovato-oblunghi, seghettati (simili a quelli della Pimpinella), nelle sup. più stretti, fino a lanceolato-lineari; fi. largam. ovale, compresso lateralm., lungo ca. 3 mm. In luoghi piuttosto umidi nei dintorni di Arco.",4236c9b1b44519e04668efc84ccf3e04,5046206,L.,Giugno,Agosto,,,,Amomo,,,
2033,"Hladnikia golaka",Specie,"(dedicata a Fr. Hladnik (1773-1844), benemerito illustratore della flora della Carniola).<br /><br />P. glabra, alta 5-10 dm., con f. striato; fg. glauche, divise in 3 segmenti di prim'ordine e questi bipennatosetti, i segmenti ultimi pennatifidi o pennatopartiti; ombrelle di ca. 20 raggi. Rara sui pascoli montani e subalpini della Vallarsa,e delle Alpi Ledrensi merid.",efa665a0de676f17a3f53207d321b3bc,5049482,Rchb.,Giugno,Agosto,,,,,,,
2032,Seseli,Genere,"(dal gr. séseli, nome di una specie di finocchio).",0e6dc09162bbe4ca4455843b240a09b0,47136494,L.,,,,,,,,,
2031,Ligusticum,Genere,"Si è preferito riunire i tre generi <em>Pachypleurum</em>, <em>Meum</em> e <em>Ligusticum</em> nell'unico gen. <em>Ligusticum</em>, come già Thellung in: Hegi, Flora von Mitteleuropa.<br /><br />(dal gr. ligustikón, nome di una ombrellifera imprecisata, che secondo Dioscoride sarebbe cresciuta nella Liguria).",46cc094c0cbad7979bd817a7c09bce5c,23769333,L.,,,,,,,,,
2030,"Siler trilobum",Specie,"(dal lat. siler, nome di un'altra ombrellifera, ai cui semi si attribuirono nel Medioevo diverse virtù medicinali).<br /><br />P. glauca e glabra con f. alto fino a 1,5 m.; fg. inf. 2-3 volte trisette; a segmenti largam. ovali o subrotondi, lobato-crenati; ombrelle grandi (la terminale di diametro fino a 25 cm.). Raro in luoghi ccspuglioso-rupestri. Nel Tr. già indicato del M. Gazza a ovest di Trento dai F.lli Perini nel sec. scorso. Recentcm. confermata la sua presenza sullo stesso monte da Pitschmann e Reisigl.",e328229c899af124437a509e4bd8d3ea,5052926,Crantz.,Marzo,Maggio,,,,,,"(da moderni Autori denominato Laser trilobum (L.) Barkh.)",
2029,"Aethusa cynapium",Specie,"(dal gr. aithysso = brucio, per l'acredine del succo della p.).<br /><br />P. annua glabra, con odore di aglio se stropicciata; f. alto fino a 5 dm.; fg. inf. bi-tripennatosette; ombrelle lungam. peduncolate, a raggi disuguali; fr. ovoideo, compresso nel dorso, a coste grosse, le laterali più pronunciate. Negli orti, in prossimità degli abitati. Velenosa (facilm. scambiata col Prezzemolo).",529514783fc135d9acf9714346ef1f09,584981,L.,Giugno,Agosto,,,,"Cicuta aglina",580,,
2028,"Trochiscanthes nodiflorus",Specie,"(dal gr. trochiskos = rotella e \'anthos\' = fi., per i pt. patenti come i raggi di una ruota).<br /><br />P. alta da ca. 1 a 2 m. ; ombrelle assai numerose, riunite a mo' di pannocchia, ciascuna con 4-8 raggi sottili; ombrellette con pochi fi.; fr. ovoideo oblungo, finem. granuloso, a coste prominenti. In boschi ombrosi dell'alta Vallarsa.",2de32f2cb9bae7f64b19ca4c4a2e6d89,5045529,Koch.,Giugno,Agosto,1000,1500,,,,,
2027,"Petroselinum hortense",Specie,"(dal gr. petrosélinon, nome già usato da Dioscoride per indicare il Prezzemolo).<br /><br />P. biennale glabra, con f. striato, alto fino a ca. 1 m.. assai ramoso; fg. lucenti, le inf. bi-tripennatosctte, a divisioni ovato-cuneate, dentato-lobate, le sup. con poche (per lo più 3) divisioni lineari. Coltivato negli orti e non di rado inselvatichito.",6a7a87b5ddbab6cb4b324a0ed1202d28,581421,Hoffm.,Marzo,Maggio,,,,,,,
2026,"Cicuta virosa",Specie,"(dal gr. kikys = forza, energia, per la violenza del veleno contenuto nella p.).<br /><br />P. con f. grosso, fistoloso, striato, alto fino a 1 m.; ombrelle grandi, in parte opposte alle fg.; involucro nullo o di 1-2 brattee; involucretti a bratteole riflesse; fr. piccolo cordato alla base, più largo che lungo. In luoghi paludosi, presso le sponde dei laghi.<br /><br />Per il Tr. nota soltanto del Lago della Serraia e del Laghestél di Nogarè (Pine), nonché dei fossi lungo la ferrovia a N di Trento presso Roncafort (Biasioni).",08d403534bd856138f7e43bd9e6f6bdc,596818,L.,Giugno,Agosto,0,700,,Cicuta,574,,
2025,"Oenanthe aquatica",Specie,"(dal gr. oinànthe - fiori con odore di vino, come ritenne Plinio).<br /><br />Ombrelle di 5-12 raggi, prive d'involucro, ma con involucretti alle ombrellette; fi. piccoli, bianchi, con denti del cai. distinti e permanenti a incoronare il fi. oblungo (3-5 mm.). Indicata finora soltanto dei fossi di Magre.",1d986c2232995f73c05595a6a2b79a12,581937,Poir.,Giugno,Agosto,,,,,597,,
2024,"Heracleum sphondylium",Specie,"(dal gr. Heraklès — Ercole; p. consacrata a questo eroe).<br /><br />P. bienne o perenne; pelosa e di odore ingrato; f. alto fino a 1,5 m., robusto, cavo, striato-solcato; fg. a lamina spessa, assai variabili nella forma e specialm. nella partizione: o semplicem. lobate, o ternato - o palmato - o pennatosette; in quest'ultimo caso a segmenti tutti ± incisi o lobati; le inf. assai grandi e picciolate; ombrelle numerose, di 10-30 raggi, la terminale grande; involucro mancante o formato soltanto di qualche brattea caduca; involucretti di numerose bratteole; fi. bianchi, verdastri o rosei; fr. quasi rotondo od obovato, compresso nel dorso e alato, lungo 6-10 mm. Freq. nei prati ed anche in luoghi cespugliosi.<br /><br />Notevoli, tra le sue ssp.: <em>montanum</em> (Schleich.) Briq. con fg. semplici, le inf. cordate alla base, ± palmato-lobate, a lobi acuminati, le sup. talora trisette, tutte minutam. pelose di sotto; e <em>pyrenaicum</em> (Lam.). Barra., con fg. egualm. conformate, ma a lobi ottusi e con rado tomento bianco di sotto.<br /><br />Ambedue le ssp. che hanno carattere spiccatam. alpestre, crescono in prati pingui di montagna, presso le sponde di rivi, in forre tra i mughi.",caa067f2cbc2cef0a1f06497e2cb1a1d,581673,L.,Marzo,Agosto,700,3000,,Panace,585,,
2023,Peucedanum,Genere,"(dal gr. peuke = pino e \'danós\' = secco, per l'odore resinoso di alcune specie).",888e5f76d5721357f9a067748bb66bda,23769334,L.,,,,,,,,,
2022,"Angelica silvestris",Specie,"(dal gr. ànghelos = angelo, per le proprietà medicinali dell'A. archangelica).<br /><br />F. alto fino a 2 m., fistoloso, striato, glauco; fg. inf. e medie assai grandi, bi-tripennatosette, a divisioni ultime ovali ed ovali-lanceolate, irregolarm. seghettate; ombrelle senza involucro; involucretti a bratteole lesiniformi, riflesse; fi. bianchi o rosei. Freq. in luoghi ombrosi ed umidi.<br /><br />Presenta la var. elatior Wahlbg., nella quale le ultime divisioni delle fg. sono bislungo-lanceolate e le sup., all'apice della fg. e di ciascun segmento di prim' ordine, decorrenti sulla rachide.",e751fa726656aee5b0c60d36e80aacf8,581771,L.,Giugno,Novembre,0,1900,,Angelica,581,,
2021,"Selinum carvifolia",Specie,"(dal gr. sélinon, nome usato dagli antichi Autori per indicare un'ombrellifera, probabilm. il Sedano, impiegata per intrecciare corone).<br /><br />F.di 3-10dm. ± peloso;fg. grandi e lungam. picciolate, 3-4 volte pennatosette, a divisioni ultime strettam. lanceolate o lineari ; ombrellette con 15-20 raggi; involucro tutt'al più di 1-2 brattee, involucretti con bratteole lineari strettissime; fi. bianchì. Su prati umidi.",8e222422da667a4e1975d394885987da,483080,L.,Giugno,Novembre,0,1000,,Carvifoglio,,,
2020,Pimpinella,Genere,"(nome di oscura etimologia).",22e434254ae897c190cb599e60a9b7ae,71007,L.,,,,,,,,,
2019,"Aegopodium podagraria",Specie,"(dal gr. aix, gen. aigós = capra e \'pédion\' - piede, per la forma delle fg.).<br /><br />P. con rizoma strisciante, emettente dal suolo numerosi rami; f. fioriferi alti 4-10 dm.; fi. bianchi o rosei, in ombrelle fino a 20 raggi; p. infestante. In luoghi ombrosi e piuttosto umidi, fino al limite sup. delle colture ed oltre.",86dc6a4c6b543687bd4ae4824bd66a61,581940,L.,Marzo,Agosto,,,,"Podagraria, Sambuchella",577,,
2018,"Apium graveolens",Specie,"(dal celtico \'apon\' = acqua, perché pianta di luoghi paludosi!.<br /><br />P. biennale; f. eretto, angoloso, alto fino a 1 m.; fg. lucenti, le inf pennatosette, con segmenti a base cuneiforme, antcriorm. lobati o inciso-dentati, le sup. trisette o indivise; ombrelle e ombrellette senza involucri; fi. biancastri, assai piccoli; pt. quasi rotondi; fr. quasi globosi, compressi ai lati. P. di luoghi paludosi allo stato spontaneo e largam. coltivata, sia per le sue fg. aromatiche, sia per la sua grossa radice nella var. rapaceum (Mill.).<br /><br />Hanno f. prostrato e radicante almeno nella porzione inf., cilindrico, non angoloso e ombrellette sempre provviste di involucretto:<br /><em>A. nodiflorum</em> Lag. (573). Sedano d'acqua, Schiavone, con f. prostrato soltanto in basso; fg. a segmenti ovato-lanceolati, crenato-seghettati; ombrelle quasi sessili, con involucro nullo o di 1-3 brattee caduche; ombrellette con involucretti di parecchie bratteole aderenti ai peduncoli dei fi. e fr. a contorno ellittico. In fossi presso il lago di Caldaro. In luoghi acquitrinosi presso Magre e Salorno, nonché tra Mezzocorona e Rovere della Luna (Biastoni); al presente, se non del tutto scomparso, certam. fattosi raro per bonifica del suolo; 2; E.<br /><em>A repens</em> Jacq. con f. prostrato e radicante in tutta la sua lunghezza; fg. a segmenti ovato-rotondi, inciso dentati fino a lobati; ombrelle lungam. peduncolate, con involucro di 3-7 bratee; ombrellette con involucretti riflessi e fr. a contorno nuasi rotondo; rinvenuto presso Frangano (Bolzano) in acquitrini: 2: E.",f26dd9c44fb100e6d50d40db9c992e4d,579558,L.,Giugno,Novembre,,,,Sedano,571,,
2017,"Carum carvi",Specie,"(dal gr. karon, nome della p., supposta originaria della Caria, nell'Asia M.).<br /><br />P. molto ramosa, alta alcuni dm. e ricca di ombrelle, ciascuna con in media una dozzina di raggi molto disuguali, senza involucri e involucretti (raram. con qualche brattea); fi. bianchi o rossi (spccialm. in montagna); fr. cilindrico, a coste filiformi, aromatico.<br /><br />C. nei prati e in luoghi erbosi in genere.",dfc5018fe4956139952c9a37e04a7d16,581712,L.,Marzo,3000,0,3000,,"Comino dei prati",570,,
2016,Chaerophyllum,Genere,"(dal gr. chairo = rallegro e \'fyllon\' = fg. per l'eleganza delle fg.).",1923bb25610b934063b5411edf57a4cc,71043,L.,,,,,,,,,
2015,"Falcaria saxifraga",Specie,"(dal lat. falx = falce, per le divisioni sovente falciformi delle fg. di F. vulgaris).<br /><br />P. biennale, f. di 3-6 dm., ramoso e quasi privo di fg. cauline; fg. basali semplicem. pennatosette, con 5-7 segmenti ovato-rotondi, dentato-lobati; ombrelle piccole e numerose, prive d'involucro; fi. oblunghi (ca. 3 mm.). In luoghi aridi e sassosi del Tr. centro-merid. (circondari di Trento, Rovereto e Riva), al piano e sui colli.<br /><br />Rara in luoghi erbosi del circondario di Bolzano e indicata pure della Valle di Non. ma senza precisazione delle località è: <em>F. vulgaris</em> Bernh. Involucro a più branco; p. glauca (2-5 dm.), con fg. basali semplici o trisette, le cauline ripetutam. trisette a divisioni ultime lineari-lanceolate. sovente leggerm. falciformi: E-A.<br /><br />",4f6d2c50a459f4c41fc5b674b8c4e37f,5052443,Rchb.,Giugno,Agosto,,,,,,"(= Piychotis saxifraga Drude)",
2014,"Athamanta cretensis",Specie,"(dal monte Athamos in Tessaglia).<br /><br />P. di un verde grigiastro, non più alta di 4 dm., con fg. tripennatosette, a lacinie ultime lineari-lanceolate, acute; ombrelle con involucro di 1-4 brattee e involucretti con un maggior numero di bratteole a margine scarioso. Freq. nei pascoli sassosi montani e alpini su suolo calcareo. Alla Forcella del Sassolungo a 2679 m. (Chiarugi).<br />Nella reg. non è rara (nel Tr. e nel circondario di Bolzano perfino al piano), nemmeno la var. vestina (Ken.) più alta e robusta della forma tipica, con ombrelle di 12-25 raggi coperti di peli assai lunghi.",1f77e75cbcd22255774c6214403aac0b,5047448,L.,Giugno,Agosto,,,,,,,
2013,Myrrhis,Genere,,,,,,,,,,,,,
2012,"Scandix pecten-veneris",Specie,"(probabilm. dal gr. schàzo = pungo, per il fr. terminante in un rostro lungo e dentato).<br />P. annua con f. solcato, ramoso, di 1-4 dm.; fg. 2-3 volte pennatosette con segmenti suddivisi in lacinie lineari; ombrelle con pochissimi raggi e prive d'involucro; involucretti di poche bratteole; fi. bianchi, assai piccoli. Freq. nei campì e negli incolti del piano e dei colli; a N. fino a Merano e dintorni.",dce3a39630bcc8775f910c8121c2cbf2,581457,L.,Marzo,Agosto,,,,Spillettoni,594,,
2011,Anthriscus,Genere,"(dal gr. anthos = fi. e \'rhyschos\' = di siepe).",b1aaaf8dfd734e2b4a6511f77090c035,71409,Pers.,,,,,,,,,
2010,"Caucalis daucoides",Specie,"(dal gr. kaùkalis, nome di questa p. presso i Greci).<br /><br />P. annua con f. angoloso, alto 1-3 dm., a rami divaricati; fg. bi-tripennato-sctte, a divisioni ultime lanceolato-lincari, intere o brevem. lobate; ombrelle in parte opposte alle fg., con 2-5 raggi, involucro mancante o di 1-2 brattee esili; fr. ovato-oblungo (ca. 1 cm.) coperto di aculei uncinati. Nei campi nei vigneti e in luoghi incolti.<br /><br /><em>C. latifolia</em> L., rinvenuta lungo la linea della Valsugana, a Rovereto e all'imbocco della Vallarsa, è pure p. annu, ma ha fg. semplicem. pennatosette, a segmenti da seghettati a incisi; fi. periferici appena raggianti e f. alto fino a 5 dm. Nei coltivati. E.",f79314efb6105c10fd64de96007f0d64,485316,L.,Marzo,Agosto,0,700,,"Lappola carota",591,,
2009,Torilis,Genere,"(dal gr. torós = acuto, per i fr. irti di setole acute o uncinate).",d70a30a681ae3659889d2108fb4648f6,37991,Adams.,,,,,,,,,
2008,"Orlaya grandiflora",Specie,"(dedicata al botanico moscovita Orlay, vissuto nel sec. XVIII).<br /><br />P. annua con f. alto 1-5 dm., glabro, solcato-angoloso; fg. bi-tripennatosette, a segmenti ultimi suddivisi in lacinie lineari; ombrelle di 5-10 raggi, con<br />involucro e involucretti; fr. coperti di brevi punte e di aculei uncinati. C. lungo le strade e in luoghi incolti nella parte mcrid. della reg. (a N. fino a Merano c a Bressanone).",0cf11da04778addbf4cbae7cebb97ddc,47136069,Hoffm.,Marzo,Agosto,0,700,,Zecca,,,
2007,"Daucus carota",Specie,"(dal gr. daucos, nome già usato da Teofrasto e Dioscoride per diverse ombrellifere).<br /><br />P. annua o biennale con f. peloso-ispido, alto in media 5-8 dm. (però anche 15 dm ); fg. inf. bi-tripennatosette e le sup. soltanto pennatosette, a segmenti pennato-partiti o inciso-dentati; fi. centrale dell'ombrella sovente porporino; ombrelle fruttificanti contratte e somiglianti a nidi. Coltivata (intensivam. in Val di Cresta nella catena del M. Stivo) e allo stato selvatico. C. nei prati e in luoghi incolti.",d68359be5957bfa4a88d7e8d49c42420,581785,L.,Marzo,Agosto,0,1900,,Carota,588,,
